City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,Pouembout,NC,2022-04-14 01:04:20,-21.1333,164.9,83.19,59,2,2.24,clear sky
153,College,US,2022-04-14 01:04:20,64.8569,-147.8028,44.91,30,75,0.0,broken clouds
154,Te Anau,NZ,2022-04-14 01:03:33,-45.4167,167.7167,59.54,53,17,0.4,few clouds
155,Tuatapere,NZ,2022-04-14 01:04:20,-46.1333,167.6833,61.0,56,61,2.01,broken clouds
156,Buraydah,SA,2022-04-14 01:04:21,26.326,43.975,74.62,26,100,3.69,overcast clouds
157,Taoudenni,ML,2022-04-14 01:04:21,22.6783,-3.9836,80.08,14,0,10.42,clear sky
158,Isla Mujeres,MX,2022-04-14 01:04:21,21.2311,-86.731,80.65,82,94,13.56,overcast clouds
159,Batemans Bay,AU,2022-04-14 01:04:22,-35.7167,150.1833,66.09,54,0,5.17,clear sky
160,Georgetown,MY,2022-04-14 01:04:22,5.4112,100.3354,84.13,79,20,0.0,few clouds
161,Kieta,PG,2022-04-14 01:04:23,-6.2167,155.6333,85.6,66,59,5.14,light rain
162,Gannan,CN,2022-04-14 01:04:23,47.9147,123.5031,44.91,21,7,11.99,clear sky
163,Belmonte,BR,2022-04-14 01:04:23,-15.8631,-38.8828,78.3,82,7,6.44,clear sky
164,Port Hardy,CA,2022-04-14 01:04:24,50.6996,-127.4199,44.6,50,39,8.7,scattered clouds
165,Dwarka,IN,2022-04-14 01:04:24,22.2394,68.9678,78.28,75,0,11.41,clear sky
166,Ratnagiri,IN,2022-04-14 01:04:24,16.9833,73.3,81.55,78,100,8.28,moderate rain
167,Sri Aman,MY,2022-04-14 01:04:25,1.2376,111.4621,79.52,88,49,2.15,scattered clouds
168,Thompson,CA,2022-04-14 01:00:15,55.7435,-97.8558,18.09,86,100,15.23,overcast clouds
169,Naini Tal,IN,2022-04-14 01:04:25,29.3974,79.4469,57.51,23,37,5.61,scattered clouds
170,Nouadhibou,MR,2022-04-14 01:04:25,20.931,-17.0347,63.84,84,0,22.3,clear sky
171,Raudeberg,NO,2022-04-14 01:04:26,61.9875,5.1352,37.96,86,13,7.9,few clouds
172,Saskylakh,RU,2022-04-14 01:04:26,71.9167,114.0833,1.06,95,100,9.95,overcast clouds
173,Tra Vinh,VN,2022-04-14 01:04:27,9.9347,106.3453,84.74,70,100,4.5,overcast clouds
174,Manaure,CO,2022-04-14 01:04:27,11.7751,-72.4445,79.77,74,9,20.98,clear sky
175,Danville,US,2022-04-14 01:03:22,36.586,-79.395,75.78,50,40,5.99,scattered clouds
176,Luderitz,NA,2022-04-14 01:04:28,-26.6481,15.1594,60.42,83,6,10.09,clear sky
177,Hervey Bay,AU,2022-04-14 01:04:28,-25.2986,152.8535,75.02,73,22,11.01,few clouds
178,Datong,CN,2022-04-14 01:04:29,40.0936,113.2914,40.69,38,100,10.92,overcast clouds
179,Susehri,TR,2022-04-14 01:04:29,40.1644,38.0867,30.33,71,36,1.99,scattered clouds
180,Mildura,AU,2022-04-14 01:05:29,-34.2,142.15,78.08,41,32,12.26,scattered clouds
181,Shebalino,RU,2022-04-14 01:05:30,51.2917,85.6772,33.69,65,1,3.62,clear sky
182,Presidencia Roque Saenz Pena,AR,2022-04-14 01:05:30,-26.7852,-60.4388,60.4,78,6,6.62,clear sky
183,Souillac,MU,2022-04-14 01:05:30,-20.5167,57.5167,77.38,83,69,18.81,broken clouds
184,Russell,US,2022-04-14 01:05:31,32.3502,-85.1999,73.0,70,40,8.05,haze
185,Barranca,PE,2022-04-14 01:05:31,-10.75,-77.7667,66.65,81,100,8.75,overcast clouds
186,Koumac,NC,2022-04-14 01:05:31,-20.5667,164.2833,80.85,62,4,4.36,clear sky
187,Faya,SA,2022-04-14 01:05:32,18.3851,42.4509,59.52,40,5,1.43,clear sky
188,Manakara,MG,2022-04-14 01:05:32,-22.1333,48.0167,73.92,86,89,4.29,overcast clouds
189,Lompoc,US,2022-04-14 01:05:32,34.6391,-120.4579,65.79,63,0,25.01,clear sky
190,Aripuana,BR,2022-04-14 01:05:33,-9.1667,-60.6333,74.19,96,81,0.83,broken clouds
191,Limoux,FR,2022-04-14 01:05:33,42.9167,2.1667,48.7,89,86,3.27,overcast clouds
192,Jawhar,SO,2022-04-14 01:05:33,2.7809,45.5005,78.87,80,22,4.56,few clouds
193,Cody,US,2022-04-14 01:03:43,44.5263,-109.0565,20.91,67,100,8.05,overcast clouds
194,Mehamn,NO,2022-04-14 01:03:12,71.0357,27.8492,27.12,92,100,2.93,overcast clouds
195,Poso,ID,2022-04-14 01:05:34,-1.3959,120.7524,84.79,65,100,0.38,overcast clouds
196,Faanui,PF,2022-04-14 01:05:34,-16.4833,-151.75,81.41,73,17,14.03,few clouds
197,The Valley,AI,2022-04-14 01:05:35,18.217,-63.0578,78.82,74,20,19.93,few clouds
198,Broome,US,2022-04-14 01:05:35,42.2506,-75.833,66.67,68,40,6.91,scattered clouds
199,Nuuk,GL,2022-04-14 01:05:36,64.1835,-51.7216,25.88,93,100,16.11,overcast clouds
200,Acajutla,SV,2022-04-14 01:05:37,13.5928,-89.8275,82.72,71,74,8.32,broken clouds
201,San Patricio,US,2022-04-14 01:05:37,28.017,-97.5169,86.72,82,0,11.77,clear sky
202,Chokurdakh,RU,2022-04-14 01:05:37,70.6333,147.9167,2.89,87,6,3.96,clear sky
203,Pisco,PE,2022-04-14 01:04:55,-13.7,-76.2167,65.01,82,0,8.05,clear sky
204,Coahuayana,MX,2022-04-14 01:05:38,18.7333,-103.6833,76.12,81,100,3.2,overcast clouds
205,Falmouth,GB,2022-04-14 01:05:38,50.1544,-5.0711,47.3,94,56,3.18,broken clouds
206,Folkestone,GB,2022-04-14 01:05:38,51.0833,1.1833,50.88,91,0,1.99,clear sky
207,Laguna,US,2022-04-14 01:04:01,38.421,-121.4238,60.44,48,100,12.66,overcast clouds
208,Vila Franca Do Campo,PT,2022-04-14 01:05:39,37.7167,-25.4333,61.21,84,6,7.96,clear sky
209,Kapiri Mposhi,ZM,2022-04-14 01:05:39,-13.9652,28.6809,60.71,97,92,4.21,overcast clouds
210,Nauta,PE,2022-04-14 01:05:40,-4.5061,-73.5757,71.92,100,100,2.17,overcast clouds
211,Roma,US,2022-04-14 01:02:03,43.2128,-75.4557,67.87,79,40,0.0,light rain
212,Galle,LK,2022-04-14 01:03:33,6.0367,80.217,80.22,81,93,3.6,overcast clouds
213,Yablonovo,RU,2022-04-14 01:05:40,50.8523,37.3574,46.63,86,100,18.5,overcast clouds
214,Tazovskiy,RU,2022-04-14 01:05:41,67.4667,78.7,29.37,98,100,2.89,light snow
215,Coquimbo,CL,2022-04-14 01:05:41,-29.9533,-71.3436,53.33,100,20,4.61,few clouds
216,Sainte-Anne-Des-Monts,CA,2022-04-14 01:05:41,49.124,-66.4924,35.11,90,97,4.88,overcast clouds
217,Talnakh,RU,2022-04-14 01:05:42,69.4865,88.3972,23.05,96,100,5.66,light snow
218,Byron Bay,AU,2022-04-14 01:03:52,-28.65,153.6167,69.94,70,99,12.95,light rain
219,Peniche,PT,2022-04-14 01:05:42,39.3558,-9.3811,57.11,85,100,14.65,overcast clouds
220,Yorosso,ML,2022-04-14 01:05:42,12.3536,-4.7761,89.67,22,93,4.74,overcast clouds
221,Boa Vista,BR,2022-04-14 01:05:43,2.8197,-60.6733,82.38,65,75,12.66,broken clouds
222,Vostok,RU,2022-04-14 01:05:43,46.4856,135.8833,36.84,52,99,6.93,overcast clouds
223,Port Elizabeth,ZA,2022-04-14 01:05:43,-33.918,25.5701,63.32,93,83,11.01,broken clouds
224,Yarmolyntsi,UA,2022-04-14 01:05:44,49.1924,26.8373,44.15,65,100,7.85,overcast clouds
225,Bengkulu,ID,2022-04-14 01:05:44,-3.8004,102.2655,79.43,79,52,2.48,broken clouds
226,Abu Samrah,SY,2022-04-14 01:05:44,35.3029,37.1841,48.4,37,0,9.53,clear sky
227,Teguise,ES,2022-04-14 01:05:45,29.0605,-13.564,61.02,68,20,14.97,few clouds
228,Puerto Madryn,AR,2022-04-14 01:06:45,-42.7692,-65.0385,61.77,40,0,6.29,clear sky
229,Jamame,SO,2022-04-14 01:06:45,0.0722,42.7506,80.33,84,98,5.95,light rain
230,Tasiilaq,GL,2022-04-14 01:06:46,65.6145,-37.6368,28.56,83,100,6.29,overcast clouds
231,Charters Towers,AU,2022-04-14 01:06:46,-20.1,146.2667,83.82,40,10,16.33,clear sky
232,Oussouye,SN,2022-04-14 01:06:46,12.485,-16.5469,69.57,77,100,11.01,overcast clouds
233,Maine-Soroa,NE,2022-04-14 01:06:47,13.2114,12.0241,83.28,21,100,6.38,overcast clouds
234,Severodvinsk,RU,2022-04-14 01:06:47,64.5635,39.8302,30.31,95,37,5.32,scattered clouds
235,Chuy,UY,2022-04-14 01:06:47,-33.6971,-53.4616,54.99,72,0,7.85,clear sky
236,Victoria,HK,2022-04-14 01:06:09,22.2855,114.1577,79.95,74,0,5.01,clear sky
237,Tiksi,RU,2022-04-14 01:06:48,71.6872,128.8694,-0.81,96,100,6.44,overcast clouds
238,Hilo,US,2022-04-14 01:05:51,19.7297,-155.09,85.28,87,100,4.61,moderate rain
239,Nouakchott,MR,2022-04-14 01:06:48,18.0858,-15.9785,69.73,77,0,15.35,clear sky
240,San Juan,AR,2022-04-14 01:05:17,-31.5375,-68.5364,69.22,37,13,12.44,few clouds
241,Kaeo,NZ,2022-04-14 01:06:49,-35.1,173.7833,72.32,59,42,4.21,scattered clouds
242,Anadyr,RU,2022-04-14 01:06:49,64.75,177.4833,28.9,86,20,29.08,few clouds
243,Mon,IN,2022-04-14 01:06:50,26.75,95.1,68.59,93,100,0.58,moderate rain
244,Superior,US,2022-04-14 01:06:20,46.7208,-92.1041,36.75,96,100,6.91,light rain
245,Saint-Philippe,RE,2022-04-14 01:06:50,-21.3585,55.7679,74.79,89,52,14.0,light rain
246,Narsaq,GL,2022-04-14 01:03:14,60.9167,-46.05,48.42,60,100,6.51,overcast clouds
247,Fairbanks,US,2022-04-14 01:01:57,64.8378,-147.7164,44.92,36,100,1.99,overcast clouds
248,Dennery,LC,2022-04-14 01:06:51,13.8996,-60.8879,78.89,73,20,24.16,few clouds
249,Waipawa,NZ,2022-04-14 01:06:51,-41.4122,175.5153,55.69,55,1,8.1,clear sky
250,Saldanha,ZA,2022-04-14 01:06:52,-33.0117,17.9442,62.02,89,100,19.77,overcast clouds
251,Luganville,VU,2022-04-14 01:06:52,-15.5333,167.1667,85.05,68,23,7.61,few clouds
252,Leningradskiy,RU,2022-04-14 01:06:52,69.3833,178.4167,6.28,91,90,14.38,overcast clouds
253,Buchanan,LR,2022-04-14 01:06:53,5.8808,-10.0467,78.91,87,100,6.51,light rain
254,Hithadhoo,MV,2022-04-14 01:06:53,-0.6,73.0833,83.75,73,100,9.8,overcast clouds
255,Pokhara,NP,2022-04-14 01:06:53,28.2333,83.9833,72.01,39,0,6.76,clear sky
256,Trairi,BR,2022-04-14 01:06:54,-3.2778,-39.2689,76.84,88,20,4.56,few clouds
257,Selaphum,TH,2022-04-14 01:06:54,16.0299,103.9383,89.01,52,98,8.05,overcast clouds
258,Tougue,GN,2022-04-14 01:06:54,11.4667,-11.6,81.03,29,100,5.17,overcast clouds
259,Churapcha,RU,2022-04-14 01:06:55,62.0025,132.4325,28.9,85,97,7.27,overcast clouds
260,Colac,AU,2022-04-14 01:06:55,-38.3333,143.5833,63.18,43,100,8.12,overcast clouds
